      Step     Time          Energy          fmax
FIRE:    0 06:37:49   -94771.882812        2.760641
FIRE:    1 06:37:50   -94772.195312        1.858407
FIRE:    2 06:37:52   -94772.414062        1.232113
FIRE:    3 06:37:52   -94772.593750        0.822528
FIRE:    4 06:37:54   -94772.765625        1.183225
FIRE:    5 06:37:54   -94772.890625        0.890655
FIRE:    6 06:37:54   -94772.984375        0.612879
FIRE:    7 06:37:54   -94773.101562        0.905869
FIRE:    8 06:37:54   -94773.156250        0.696732
FIRE:    9 06:37:54   -94773.195312        0.620319
FIRE:   10 06:37:54   -94773.257812        0.547874
FIRE:   11 06:37:54   -94773.257812        0.493871
FIRE:   12 06:37:54   -94773.304688        0.463770
FIRE:   13 06:37:54   -94773.312500        0.433242
FIRE:   14 06:37:54   -94773.351562        0.390655
FIRE:   15 06:37:54   -94773.375000        0.387459
FIRE:   16 06:37:54   -94773.406250        0.353859
FIRE:   17 06:37:54   -94773.429688        0.238145
FIRE:   18 06:37:54   -94773.484375        0.335410
FIRE:   19 06:37:55   -94773.507812        0.379719
FIRE:   20 06:37:55   -94773.539062        0.338850
FIRE:   21 06:37:55   -94773.570312        0.371028
FIRE:   22 06:37:55   -94773.656250        0.311896
FIRE:   23 06:37:55   -94773.718750        0.329051
FIRE:   24 06:37:55   -94773.804688        0.289174
FIRE:   25 06:37:56   -94773.867188        0.471822
FIRE:   26 06:37:57   -94773.976562        0.893057
FIRE:   27 06:37:57   -94774.015625        2.159527
FIRE:   28 06:37:57   -94774.078125        0.158760
FIRE:   29 06:37:57   -94774.015625        1.938592
FIRE:   30 06:37:57   -94774.039062        1.474631
FIRE:   31 06:37:57   -94774.085938        0.661208
FIRE:   32 06:37:57   -94774.085938        0.308017
FIRE:   33 06:37:57   -94774.085938        0.287727
FIRE:   34 06:37:57   -94774.085938        0.248552
FIRE:   35 06:37:57   -94774.078125        0.202589
FIRE:   36 06:37:57   -94774.085938        0.165161
FIRE:   37 06:37:57   -94774.085938        0.126224
FIRE:   38 06:37:57   -94774.046875        0.109462
FIRE:   39 06:37:57   -94774.093750        0.111095
FIRE:   40 06:37:57   -94774.062500        0.162239
FIRE:   41 06:37:57   -94774.085938        0.200662
FIRE:   42 06:37:57   -94774.093750        0.209902
FIRE:   43 06:37:57   -94774.093750        0.182111
FIRE:   44 06:37:57   -94774.093750        0.118473
FIRE:   45 06:37:57   -94774.101562        0.114174
FIRE:   46 06:37:57   -94774.109375        0.132980
FIRE:   47 06:37:57   -94774.109375        0.137932
FIRE:   48 06:37:58   -94774.109375        0.119970
FIRE:   49 06:37:58   -94774.125000        0.107557
FIRE:   50 06:37:58   -94774.140625        0.148115
FIRE:   51 06:37:58   -94774.179688        0.120797
FIRE:   52 06:37:58   -94774.132812        0.109897
FIRE:   53 06:37:58   -94774.179688        0.114172
FIRE:   54 06:37:58   -94774.203125        0.095558
FIRE:   55 06:37:58   -94774.218750        0.115203
FIRE:   56 06:37:58   -94774.242188        0.120924
FIRE:   57 06:37:58   -94774.257812        0.102712
FIRE:   58 06:37:58   -94774.320312        0.134427
FIRE:   59 06:37:58   -94774.351562        0.285486
FIRE:   60 06:37:58   -94774.398438        0.877889
FIRE:   61 06:37:58   -94774.382812        2.397935
FIRE:   62 06:37:58   -94774.437500        0.087527
FIRE:   63 06:37:58   -94774.460938        0.070077
FIRE:   64 06:37:58   -94774.453125        0.061666
FIRE:   65 06:37:59   -94774.468750        0.061630
FIRE:   66 06:37:59   -94774.468750        0.061570
FIRE:   67 06:37:59   -94774.445312        0.061500
FIRE:   68 06:37:59   -94774.468750        0.061409
FIRE:   69 06:37:59   -94774.460938        0.061286
FIRE:   70 06:37:59   -94774.460938        0.061122
FIRE:   71 06:37:59   -94774.476562        0.060884
FIRE:   72 06:37:59   -94774.468750        0.060561
FIRE:   73 06:37:59   -94774.484375        0.060115
FIRE:   74 06:37:59   -94774.476562        0.060450
FIRE:   75 06:37:59   -94774.492188        0.061534
FIRE:   76 06:37:59   -94774.484375        0.062169
FIRE:   77 06:37:59   -94774.500000        0.062094
FIRE:   78 06:37:59   -94774.507812        0.061112
FIRE:   79 06:37:59   -94774.531250        0.059140
FIRE:   80 06:37:59   -94774.554688        0.056184
FIRE:   81 06:37:59   -94774.570312        0.074240
FIRE:   82 06:37:59   -94774.585938        0.198662
FIRE:   83 06:38:00   -94774.585938        0.729463
FIRE:   84 06:38:00   -94774.617188        2.321036
FIRE:   85 06:38:00   -94774.617188        0.287104
FIRE:   86 06:38:00   -94774.617188        0.206930
FIRE:   87 06:38:00   -94774.632812        0.072560
FIRE:   88 06:38:00   -94774.617188        0.099539
FIRE:   89 06:38:00   -94774.648438        0.193434
FIRE:   90 06:38:00   -94774.632812        0.210078
FIRE:   91 06:38:00   -94774.679688        0.148095
FIRE:   92 06:38:00   -94774.625000        0.051711
FIRE:   93 06:38:00   -94774.632812        0.123881
FIRE:   94 06:38:00   -94774.632812        0.179105
FIRE:   95 06:38:00   -94774.625000        0.109628
FIRE:   96 06:38:00   -94774.632812        0.082728
FIRE:   97 06:38:00   -94774.679688        0.160675
FIRE:   98 06:38:00   -94774.640625        0.049611
