      Step     Time          Energy          fmax
FIRE:    0 06:32:03  -803218.812500       14.266980
FIRE:    1 06:32:04  -803221.687500        6.832376
FIRE:    2 06:32:06  -803223.875000        2.983556
FIRE:    3 06:32:07  -803225.187500        3.769569
FIRE:    4 06:32:07  -803226.312500        4.114210
FIRE:    5 06:32:08  -803227.250000        3.910603
FIRE:    6 06:32:08  -803228.062500        3.466429
FIRE:    7 06:32:08  -803228.750000        2.915914
FIRE:    8 06:32:08  -803229.312500        2.332856
FIRE:    9 06:32:08  -803229.875000        1.757194
FIRE:   10 06:32:08  -803229.750000        1.224825
FIRE:   11 06:32:08  -803230.750000        0.730662
FIRE:   12 06:32:08  -803230.812500        0.597535
FIRE:   13 06:32:08  -803231.500000        0.569389
FIRE:   14 06:32:08  -803230.875000        0.626985
FIRE:   15 06:32:08  -803231.875000        0.691529
FIRE:   16 06:32:10  -803232.500000        0.623844
FIRE:   17 06:32:10  -803232.875000        0.483495
FIRE:   18 06:32:10  -803233.187500        0.376968
FIRE:   19 06:32:10  -803233.500000        0.333167
FIRE:   20 06:32:10  -803232.750000        0.316370
FIRE:   21 06:32:10  -803233.000000        0.410183
FIRE:   22 06:32:10  -803233.375000        0.432762
FIRE:   23 06:32:10  -803234.187500        0.402629
FIRE:   24 06:32:10  -803234.375000        0.332272
FIRE:   25 06:32:10  -803234.000000        0.337501
FIRE:   26 06:32:10  -803234.125000        0.310008
FIRE:   27 06:32:10  -803234.312500        0.224870
FIRE:   28 06:32:10  -803234.500000        0.269619
FIRE:   29 06:32:10  -803235.000000        0.262494
FIRE:   30 06:32:10  -803235.187500        0.197922
FIRE:   31 06:32:10  -803235.250000        0.167279
FIRE:   32 06:32:10  -803235.312500        0.196319
FIRE:   33 06:32:10  -803235.500000        0.228208
FIRE:   34 06:32:10  -803235.750000        0.233176
FIRE:   35 06:32:10  -803235.937500        0.209280
FIRE:   36 06:32:11  -803235.250000        0.223204
FIRE:   37 06:32:11  -803235.250000        0.214824
FIRE:   38 06:32:11  -803235.500000        0.216453
FIRE:   39 06:32:11  -803237.437500        0.231045
FIRE:   40 06:32:11  -803235.562500        0.194523
FIRE:   41 06:32:11  -803235.625000        0.143539
FIRE:   42 06:32:11  -803235.750000        0.149938
FIRE:   43 06:32:11  -803237.937500        0.206216
FIRE:   44 06:32:11  -803236.875000        0.237083
FIRE:   45 06:32:11  -803237.125000        0.227004
FIRE:   46 06:32:11  -803236.875000        0.186069
FIRE:   47 06:32:11  -803237.000000        0.156203
FIRE:   48 06:32:11  -803236.562500        0.194324
FIRE:   49 06:32:11  -803236.687500        0.178161
FIRE:   50 06:32:11  -803236.750000        0.151082
FIRE:   51 06:32:11  -803236.875000        0.106459
FIRE:   52 06:32:11  -803236.875000        0.103209
FIRE:   53 06:32:11  -803237.625000        0.146523
FIRE:   54 06:32:12  -803238.375000        0.145953
FIRE:   55 06:32:12  -803238.625000        0.119223
FIRE:   56 06:32:12  -803238.687500        0.121741
FIRE:   57 06:32:12  -803237.062500        0.129229
FIRE:   58 06:32:12  -803238.125000        0.157538
FIRE:   59 06:32:12  -803238.250000        0.137022
FIRE:   60 06:32:12  -803238.250000        0.110022
FIRE:   61 06:32:12  -803238.312500        0.163285
FIRE:   62 06:32:12  -803238.562500        0.154695
FIRE:   63 06:32:12  -803237.375000        0.170744
FIRE:   64 06:32:12  -803237.375000        0.138044
FIRE:   65 06:32:12  -803238.500000        0.129992
FIRE:   66 06:32:12  -803238.500000        0.154911
FIRE:   67 06:32:12  -803239.562500        0.176574
FIRE:   68 06:32:12  -803238.625000        0.134599
FIRE:   69 06:32:12  -803238.625000        0.126723
FIRE:   70 06:32:12  -803238.625000        0.154484
FIRE:   71 06:32:13  -803237.687500        0.182517
FIRE:   72 06:32:13  -803237.687500        0.170996
FIRE:   73 06:32:13  -803237.750000        0.163470
FIRE:   74 06:32:13  -803237.750000        0.170644
FIRE:   75 06:32:13  -803238.812500        0.189176
FIRE:   76 06:32:13  -803238.687500        0.192299
FIRE:   77 06:32:13  -803238.750000        0.218994
FIRE:   78 06:32:13  -803238.812500        0.228317
FIRE:   79 06:32:13  -803238.750000        0.215735
FIRE:   80 06:32:13  -803238.750000        0.219093
FIRE:   81 06:32:13  -803238.812500        0.254192
FIRE:   82 06:32:13  -803239.000000        0.285062
FIRE:   83 06:32:13  -803239.000000        0.303572
FIRE:   84 06:32:13  -803238.062500        0.283315
FIRE:   85 06:32:13  -803238.000000        0.301882
FIRE:   86 06:32:13  -803238.000000        0.346282
FIRE:   87 06:32:13  -803238.062500        0.408235
FIRE:   88 06:32:13  -803239.750000        0.430957
FIRE:   89 06:32:14  -803237.500000        9.651276
FIRE:   90 06:32:14  -803239.687500        1.795386
FIRE:   91 06:32:14  -803239.687500        1.616799
FIRE:   92 06:32:14  -803239.750000        0.840283
FIRE:   93 06:32:14  -803239.750000        0.356264
FIRE:   94 06:32:14  -803239.750000        0.313495
FIRE:   95 06:32:14  -803239.812500        0.233371
FIRE:   96 06:32:14  -803239.812500        0.127148
FIRE:   97 06:32:14  -803239.750000        0.063025
FIRE:   98 06:32:14  -803239.812500        0.113323
FIRE:   99 06:32:14  -803239.750000        0.110174
FIRE:  100 06:32:14  -803239.750000        0.104455
FIRE:  101 06:32:14  -803239.750000        0.096467
FIRE:  102 06:32:14  -803239.812500        0.086069
FIRE:  103 06:32:14  -803239.750000        0.073893
FIRE:  104 06:32:14  -803239.812500        0.060229
FIRE:  105 06:32:14  -803239.750000        0.055990
FIRE:  106 06:32:15  -803239.750000        0.054879
FIRE:  107 06:32:15  -803239.812500        0.053499
FIRE:  108 06:32:15  -803239.750000        0.051801
FIRE:  109 06:32:15  -803239.750000        0.052630
FIRE:  110 06:32:15  -803239.812500        0.058443
FIRE:  111 06:32:15  -803239.812500        0.057310
FIRE:  112 06:32:15  -803239.750000        0.047753
