      Step     Time          Energy          fmax
FIRE:    0 12:08:18  -166556.765625        5.844846
FIRE:    1 12:08:19  -166557.093750        4.670514
FIRE:    2 12:08:20  -166558.187500        3.184798
FIRE:    3 12:08:20  -166558.718750        2.028720
FIRE:    4 12:08:21  -166559.171875        1.479171
FIRE:    5 12:08:21  -166559.156250        1.155876
FIRE:    6 12:08:21  -166559.312500        1.123097
FIRE:    7 12:08:21  -166559.578125        1.424342
FIRE:    8 12:08:21  -166559.437500        1.389702
FIRE:    9 12:08:21  -166559.484375        1.321945
FIRE:   10 12:08:21  -166559.546875        1.223767
FIRE:   11 12:08:21  -166559.625000        1.099046
FIRE:   12 12:08:21  -166559.687500        0.952492
FIRE:   13 12:08:21  -166559.546875        0.791361
FIRE:   14 12:08:21  -166559.765625        0.624069
FIRE:   15 12:08:21  -166559.796875        0.438413
FIRE:   16 12:08:21  -166559.859375        0.353869
FIRE:   17 12:08:21  -166559.953125        0.336946
FIRE:   18 12:08:21  -166560.156250        0.384367
FIRE:   19 12:08:21  -166560.015625        0.439988
FIRE:   20 12:08:21  -166560.281250        0.547933
FIRE:   21 12:08:21  -166560.375000        0.629166
FIRE:   22 12:08:21  -166560.343750        0.645944
FIRE:   23 12:08:22  -166560.234375        0.594421
FIRE:   24 12:08:22  -166560.375000        0.463001
FIRE:   25 12:08:22  -166560.500000        0.274680
FIRE:   26 12:08:22  -166560.609375        0.199487
FIRE:   27 12:08:22  -166560.828125        0.193475
FIRE:   28 12:08:24  -166561.031250        0.235898
FIRE:   29 12:08:24  -166560.921875        0.243001
FIRE:   30 12:08:24  -166561.000000        0.383719
FIRE:   31 12:08:24  -166561.171875        0.697483
FIRE:   32 12:08:24  -166561.156250        0.302614
FIRE:   33 12:08:24  -166561.203125        0.192065
FIRE:   34 12:08:24  -166561.187500        0.143252
FIRE:   35 12:08:24  -166561.234375        0.157122
FIRE:   36 12:08:24  -166561.218750        0.235088
FIRE:   37 12:08:24  -166561.171875        0.195743
FIRE:   38 12:08:24  -166561.250000        0.096871
FIRE:   39 12:08:24  -166561.187500        0.095637
FIRE:   40 12:08:24  -166561.203125        0.184530
FIRE:   41 12:08:24  -166561.406250        0.131216
FIRE:   42 12:08:24  -166561.265625        0.095208
FIRE:   43 12:08:24  -166561.265625        0.157438
FIRE:   44 12:08:24  -166561.250000        0.092421
FIRE:   45 12:08:24  -166561.312500        0.160346
FIRE:   46 12:08:24  -166561.312500        0.080157
FIRE:   47 12:08:24  -166561.375000        0.180292
FIRE:   48 12:08:24  -166561.421875        0.145756
FIRE:   49 12:08:25  -166561.453125        0.116140
FIRE:   50 12:08:25  -166561.484375        0.102258
FIRE:   51 12:08:25  -166561.578125        0.293004
FIRE:   52 12:08:25  -166561.593750        0.748859
FIRE:   53 12:08:25  -166561.593750        0.064726
FIRE:   54 12:08:25  -166561.562500        0.714996
FIRE:   55 12:08:25  -166561.718750        0.531878
FIRE:   56 12:08:25  -166561.609375        0.219084
FIRE:   57 12:08:25  -166561.609375        0.148988
FIRE:   58 12:08:25  -166561.640625        0.139965
FIRE:   59 12:08:25  -166561.750000        0.122485
FIRE:   60 12:08:25  -166561.765625        0.097772
FIRE:   61 12:08:25  -166561.609375        0.067658
FIRE:   62 12:08:25  -166561.640625        0.063538
FIRE:   63 12:08:25  -166561.640625        0.063161
FIRE:   64 12:08:25  -166561.625000        0.062906
FIRE:   65 12:08:25  -166561.593750        0.067692
FIRE:   66 12:08:25  -166561.734375        0.083052
FIRE:   67 12:08:25  -166561.750000        0.085794
FIRE:   68 12:08:26  -166561.640625        0.072594
FIRE:   69 12:08:26  -166561.765625        0.062506
FIRE:   70 12:08:26  -166561.609375        0.062401
FIRE:   71 12:08:26  -166561.640625        0.062250
FIRE:   72 12:08:26  -166561.656250        0.066782
FIRE:   73 12:08:26  -166561.656250        0.062500
FIRE:   74 12:08:26  -166561.656250        0.060319
FIRE:   75 12:08:26  -166561.656250        0.059946
FIRE:   76 12:08:26  -166561.796875        0.059588
FIRE:   77 12:08:26  -166561.687500        0.061634
FIRE:   78 12:08:26  -166561.718750        0.063844
FIRE:   79 12:08:26  -166561.828125        0.061509
FIRE:   80 12:08:26  -166561.734375        0.060140
FIRE:   81 12:08:26  -166561.765625        0.064522
FIRE:   82 12:08:26  -166561.906250        0.063431
FIRE:   83 12:08:26  -166561.843750        0.067669
FIRE:   84 12:08:26  -166561.812500        0.180059
FIRE:   85 12:08:26  -166561.890625        0.453827
FIRE:   86 12:08:27  -166561.859375        1.360227
FIRE:   87 12:08:27  -166561.937500        0.132474
FIRE:   88 12:08:27  -166561.953125        0.097299
FIRE:   89 12:08:27  -166561.921875        0.062729
FIRE:   90 12:08:27  -166561.937500        0.063356
FIRE:   91 12:08:27  -166561.953125        0.111820
FIRE:   92 12:08:27  -166561.953125        0.126162
FIRE:   93 12:08:27  -166561.937500        0.099913
FIRE:   94 12:08:27  -166561.937500        0.063638
FIRE:   95 12:08:27  -166561.953125        0.063361
FIRE:   96 12:08:27  -166561.953125        0.081321
FIRE:   97 12:08:27  -166561.968750        0.066365
FIRE:   98 12:08:27  -166561.968750        0.062282
FIRE:   99 12:08:27  -166561.968750        0.091164
FIRE:  100 12:08:27  -166561.984375        0.060995
FIRE:  101 12:08:27  -166562.015625        0.073389
FIRE:  102 12:08:27  -166562.000000        0.059090
FIRE:  103 12:08:27  -166562.015625        0.092589
FIRE:  104 12:08:28  -166562.015625        0.068594
FIRE:  105 12:08:28  -166562.046875        0.062298
FIRE:  106 12:08:28  -166562.062500        0.069331
FIRE:  107 12:08:28  -166562.078125        0.171095
FIRE:  108 12:08:28  -166561.906250        0.518621
FIRE:  109 12:08:28  -166562.031250        1.561116
FIRE:  110 12:08:28  -166562.140625        0.229134
FIRE:  111 12:08:28  -166562.125000        0.156188
FIRE:  112 12:08:28  -166562.093750        0.049449
