      Step     Time          Energy          fmax
FIRE:    0 13:31:05  -114458.867188       13.169049
FIRE:    1 13:31:06  -114463.625000        7.715197
FIRE:    2 13:31:08  -114466.367188        5.413126
FIRE:    3 13:31:08  -114467.648438        3.473520
FIRE:    4 13:31:08  -114468.000000        3.332554
FIRE:    5 13:31:08  -114468.039062        3.283826
FIRE:    6 13:31:08  -114468.289062        3.161596
FIRE:    7 13:31:08  -114468.375000        2.909405
FIRE:    8 13:31:08  -114468.625000        2.438367
FIRE:    9 13:31:08  -114468.742188        1.738377
FIRE:   10 13:31:08  -114468.898438        1.022418
FIRE:   11 13:31:08  -114469.054688        1.028836
FIRE:   12 13:31:08  -114469.101562        1.591818
FIRE:   13 13:31:08  -114469.078125        2.266569
FIRE:   14 13:31:08  -114469.148438        2.199702
FIRE:   15 13:31:08  -114469.320312        1.582758
FIRE:   16 13:31:09  -114469.585938        1.824357
FIRE:   17 13:31:09  -114469.773438        1.468100
FIRE:   18 13:31:09  -114470.046875        1.351376
FIRE:   19 13:31:09  -114470.335938        1.622860
FIRE:   20 13:31:09  -114470.914062        1.854464
FIRE:   21 13:31:09  -114471.492188        2.008365
FIRE:   22 13:31:09  -114472.070312        1.982083
FIRE:   23 13:31:09  -114472.593750        1.904800
FIRE:   24 13:31:09  -114473.046875        1.887635
FIRE:   25 13:31:09  -114473.546875        1.948579
FIRE:   26 13:31:09  -114473.867188        1.514355
FIRE:   27 13:31:09  -114474.296875        1.140523
FIRE:   28 13:31:09  -114474.406250        1.432613
FIRE:   29 13:31:09  -114474.468750        1.535762
FIRE:   30 13:31:09  -114474.750000        1.203606
FIRE:   31 13:31:09  -114474.851562        1.431749
FIRE:   32 13:31:09  -114474.882812        1.493283
FIRE:   33 13:31:09  -114475.023438        1.522993
FIRE:   34 13:31:09  -114475.289062        1.710597
FIRE:   35 13:31:09  -114475.554688        1.905364
FIRE:   36 13:31:10  -114475.843750        1.724446
FIRE:   37 13:31:10  -114476.109375        1.405361
FIRE:   38 13:31:10  -114476.234375        1.545641
FIRE:   39 13:31:10  -114476.265625        4.048659
FIRE:   40 13:31:10  -114476.351562        3.119705
FIRE:   41 13:31:10  -114476.531250        1.839542
FIRE:   42 13:31:10  -114476.500000        0.532980
FIRE:   43 13:31:10  -114476.507812        0.524278
FIRE:   44 13:31:10  -114476.515625        0.507366
FIRE:   45 13:31:10  -114476.523438        0.483265
FIRE:   46 13:31:10  -114476.601562        0.453567
FIRE:   47 13:31:10  -114476.609375        0.420506
FIRE:   48 13:31:10  -114476.546875        0.386739
FIRE:   49 13:31:10  -114476.625000        0.354865
FIRE:   50 13:31:10  -114476.531250        0.326070
FIRE:   51 13:31:10  -114476.546875        0.300936
FIRE:   52 13:31:10  -114476.601562        0.275732
FIRE:   53 13:31:11  -114476.617188        0.252757
FIRE:   54 13:31:11  -114476.640625        0.229175
FIRE:   55 13:31:11  -114476.617188        0.235501
FIRE:   56 13:31:11  -114476.687500        0.256374
FIRE:   57 13:31:11  -114476.687500        0.266875
FIRE:   58 13:31:11  -114476.851562        0.257301
FIRE:   59 13:31:11  -114476.867188        0.243688
FIRE:   60 13:31:11  -114476.906250        0.214523
FIRE:   61 13:31:11  -114476.968750        0.242304
FIRE:   62 13:31:11  -114477.000000        0.203628
FIRE:   63 13:31:11  -114477.046875        0.151568
FIRE:   64 13:31:11  -114477.117188        0.206069
FIRE:   65 13:31:11  -114477.156250        0.375040
FIRE:   66 13:31:11  -114477.140625        0.676373
FIRE:   67 13:31:11  -114477.187500        0.179247
FIRE:   68 13:31:11  -114477.179688        0.598094
FIRE:   69 13:31:11  -114477.164062        0.458352
FIRE:   70 13:31:11  -114477.156250        0.211844
FIRE:   71 13:31:12  -114477.195312        0.169220
FIRE:   72 13:31:12  -114477.210938        0.169007
FIRE:   73 13:31:12  -114477.195312        0.168583
FIRE:   74 13:31:12  -114477.210938        0.167941
FIRE:   75 13:31:12  -114477.187500        0.167085
FIRE:   76 13:31:12  -114477.187500        0.166016
FIRE:   77 13:31:12  -114477.187500        0.164731
FIRE:   78 13:31:12  -114477.195312        0.163242
FIRE:   79 13:31:12  -114477.195312        0.161360
FIRE:   80 13:31:12  -114477.195312        0.159026
FIRE:   81 13:31:12  -114477.195312        0.156160
FIRE:   82 13:31:12  -114477.203125        0.152680
FIRE:   83 13:31:12  -114477.195312        0.148469
FIRE:   84 13:31:12  -114477.203125        0.143407
FIRE:   85 13:31:12  -114477.210938        0.137377
FIRE:   86 13:31:12  -114477.203125        0.130294
FIRE:   87 13:31:12  -114477.242188        0.122120
FIRE:   88 13:31:13  -114477.218750        0.112860
FIRE:   89 13:31:13  -114477.226562        0.102595
FIRE:   90 13:31:13  -114477.226562        0.091516
FIRE:   91 13:31:13  -114477.234375        0.079770
FIRE:   92 13:31:13  -114477.101562        0.067423
FIRE:   93 13:31:14  -114477.148438        0.054572
FIRE:   94 13:31:14  -114477.273438        0.051125
FIRE:   95 13:31:14  -114477.281250        0.050221
FIRE:   96 13:31:14  -114477.304688        0.048713
