      Step     Time          Energy          fmax
FIRE:    0 05:44:36  -518882.437500        3.331170
FIRE:    1 05:44:37  -518883.062500        1.826334
FIRE:    2 05:44:39  -518883.437500        2.021501
FIRE:    3 05:44:39  -518883.781250        1.757716
FIRE:    4 05:44:39  -518884.250000        1.768243
FIRE:    5 05:44:39  -518884.718750        1.725439
FIRE:    6 05:44:39  -518885.218750        1.623284
FIRE:    7 05:44:40  -518885.687500        1.396331
FIRE:    8 05:44:40  -518886.093750        0.985177
FIRE:    9 05:44:40  -518886.343750        0.911252
FIRE:   10 05:44:40  -518886.531250        1.628024
FIRE:   11 05:44:41  -518886.687500        2.109048
FIRE:   12 05:44:41  -518886.875000        1.502518
FIRE:   13 05:44:41  -518887.125000        1.426815
FIRE:   14 05:44:41  -518887.437500        1.229503
FIRE:   15 05:44:41  -518887.562500        0.652674
FIRE:   16 05:44:41  -518887.750000        0.789896
FIRE:   17 05:44:41  -518887.812500        0.977389
FIRE:   18 05:44:41  -518888.000000        0.893818
FIRE:   19 05:44:41  -518888.218750        1.341021
FIRE:   20 05:44:41  -518888.281250        2.607155
FIRE:   21 05:44:41  -518888.000000        9.384238
FIRE:   22 05:44:41  -518888.343750        2.091244
FIRE:   23 05:44:41  -518888.312500        1.663806
FIRE:   24 05:44:41  -518888.375000        0.970512
FIRE:   25 05:44:42  -518888.375000        0.458921
FIRE:   26 05:44:42  -518888.375000        1.416061
FIRE:   27 05:44:42  -518888.375000        1.318935
FIRE:   28 05:44:42  -518888.375000        1.133362
FIRE:   29 05:44:42  -518888.406250        0.875573
FIRE:   30 05:44:42  -518888.406250        0.569802
FIRE:   31 05:44:42  -518888.406250        0.331861
FIRE:   32 05:44:42  -518888.406250        0.332291
FIRE:   33 05:44:42  -518888.406250        0.372511
FIRE:   34 05:44:42  -518888.406250        0.566459
FIRE:   35 05:44:42  -518888.406250        0.667887
FIRE:   36 05:44:42  -518888.406250        0.644362
FIRE:   37 05:44:42  -518888.406250        0.476697
FIRE:   38 05:44:42  -518888.437500        0.320264
FIRE:   39 05:44:43  -518888.437500        0.314220
FIRE:   40 05:44:43  -518888.437500        0.521597
FIRE:   41 05:44:43  -518888.468750        0.576366
FIRE:   42 05:44:43  -518888.468750        0.303302
FIRE:   43 05:44:43  -518888.500000        0.298555
FIRE:   44 05:44:43  -518888.500000        0.476392
FIRE:   45 05:44:43  -518888.531250        0.295549
FIRE:   46 05:44:43  -518888.562500        0.384515
FIRE:   47 05:44:43  -518888.593750        0.405408
FIRE:   48 05:44:43  -518888.656250        0.321809
FIRE:   49 05:44:43  -518888.687500        0.258695
FIRE:   50 05:44:43  -518888.750000        0.609683
FIRE:   51 05:44:43  -518888.812500        0.432452
FIRE:   52 05:44:43  -518888.875000        0.418670
FIRE:   53 05:44:44  -518888.968750        0.621157
FIRE:   54 05:44:44  -518889.031250        1.939117
FIRE:   55 05:44:44  -518888.968750        5.435571
FIRE:   56 05:44:44  -518889.125000        0.661371
FIRE:   57 05:44:44  -518889.125000        0.551208
FIRE:   58 05:44:44  -518889.125000        0.351095
FIRE:   59 05:44:44  -518889.156250        0.148712
FIRE:   60 05:44:44  -518889.125000        0.238143
FIRE:   61 05:44:44  -518889.156250        0.374280
FIRE:   62 05:44:44  -518889.156250        0.411465
FIRE:   63 05:44:44  -518889.156250        0.335379
FIRE:   64 05:44:44  -518889.156250        0.242221
FIRE:   65 05:44:44  -518889.156250        0.174874
FIRE:   66 05:44:44  -518889.187500        0.289152
FIRE:   67 05:44:45  -518889.187500        0.307834
FIRE:   68 05:44:45  -518889.187500        0.223571
FIRE:   69 05:44:45  -518889.218750        0.144094
FIRE:   70 05:44:45  -518889.250000        0.272717
FIRE:   71 05:44:45  -518889.250000        0.108552
FIRE:   72 05:44:45  -518889.281250        0.306385
FIRE:   73 05:44:45  -518889.312500        0.157292
FIRE:   74 05:44:45  -518889.343750        0.322476
FIRE:   75 05:44:45  -518889.406250        0.221138
FIRE:   76 05:44:45  -518889.468750        0.450801
FIRE:   77 05:44:45  -518889.468750        1.800020
FIRE:   78 05:44:45  -518889.375000        5.626011
FIRE:   79 05:44:47  -518889.593750        0.886206
FIRE:   80 05:44:47  -518889.593750        0.719767
FIRE:   81 05:44:47  -518889.593750        0.409881
FIRE:   82 05:44:47  -518889.593750        0.161347
FIRE:   83 05:44:47  -518889.593750        0.408627
FIRE:   84 05:44:47  -518889.593750        0.381106
FIRE:   85 05:44:47  -518889.593750        0.328819
FIRE:   86 05:44:47  -518889.593750        0.257351
FIRE:   87 05:44:47  -518889.593750        0.176708
FIRE:   88 05:44:47  -518889.593750        0.110466
FIRE:   89 05:44:48  -518889.593750        0.110721
FIRE:   90 05:44:48  -518889.593750        0.134608
FIRE:   91 05:44:48  -518889.593750        0.176900
FIRE:   92 05:44:48  -518889.593750        0.195153
FIRE:   93 05:44:48  -518889.593750        0.190781
FIRE:   94 05:44:48  -518889.593750        0.172686
FIRE:   95 05:44:48  -518889.593750        0.125028
FIRE:   96 05:44:48  -518889.593750        0.130050
FIRE:   97 05:44:48  -518889.593750        0.125113
FIRE:   98 05:44:48  -518889.625000        0.121696
FIRE:   99 05:44:48  -518889.625000        0.114740
FIRE:  100 05:44:48  -518889.625000        0.149738
FIRE:  101 05:44:48  -518889.625000        0.108700
FIRE:  102 05:44:48  -518889.656250        0.124353
FIRE:  103 05:44:49  -518889.656250        0.153287
FIRE:  104 05:44:49  -518889.656250        0.099183
FIRE:  105 05:44:49  -518889.718750        0.136751
FIRE:  106 05:44:49  -518889.718750        0.109707
FIRE:  107 05:44:49  -518889.750000        0.130326
FIRE:  108 05:44:49  -518889.781250        0.107772
FIRE:  109 05:44:49  -518889.781250        0.108462
FIRE:  110 05:44:49  -518889.843750        0.193738
FIRE:  111 05:44:49  -518889.906250        0.688227
FIRE:  112 05:44:49  -518889.875000        2.722600
FIRE:  113 05:44:49  -518889.906250        0.527318
FIRE:  114 05:44:49  -518889.968750        0.376389
FIRE:  115 05:44:49  -518889.937500        0.145101
FIRE:  116 05:44:49  -518889.968750        0.160473
FIRE:  117 05:44:50  -518889.968750        0.338545
FIRE:  118 05:44:50  -518889.937500        0.364066
FIRE:  119 05:44:50  -518889.968750        0.249081
FIRE:  120 05:44:50  -518889.968750        0.124433
FIRE:  121 05:44:50  -518889.937500        0.236498
FIRE:  122 05:44:50  -518889.968750        0.275932
FIRE:  123 05:44:50  -518889.968750        0.163335
FIRE:  124 05:44:50  -518889.968750        0.218196
FIRE:  125 05:44:50  -518890.000000        0.201682
FIRE:  126 05:44:50  -518889.968750        0.138348
FIRE:  127 05:44:50  -518890.000000        0.238972
FIRE:  128 05:44:50  -518889.968750        0.154604
FIRE:  129 05:44:50  -518890.031250        0.153046
FIRE:  130 05:44:50  -518890.031250        0.297147
FIRE:  131 05:44:51  -518890.062500        0.437109
FIRE:  132 05:44:51  -518890.093750        0.772789
FIRE:  133 05:44:51  -518890.125000        1.540488
FIRE:  134 05:44:51  -518890.093750        0.143784
FIRE:  135 05:44:51  -518890.125000        1.395561
FIRE:  136 05:44:51  -518890.125000        1.061758
FIRE:  137 05:44:51  -518890.125000        0.484482
FIRE:  138 05:44:51  -518890.125000        0.184362
FIRE:  139 05:44:51  -518890.125000        0.172627
FIRE:  140 05:44:51  -518890.125000        0.153892
FIRE:  141 05:44:51  -518890.093750        0.139890
FIRE:  142 05:44:51  -518890.125000        0.139833
FIRE:  143 05:44:51  -518890.125000        0.139739
FIRE:  144 05:44:51  -518890.125000        0.139643
FIRE:  145 05:44:52  -518890.125000        0.139528
FIRE:  146 05:44:52  -518890.125000        0.139381
FIRE:  147 05:44:52  -518890.125000        0.139218
FIRE:  148 05:44:52  -518890.125000        0.138989
FIRE:  149 05:44:52  -518890.125000        0.138729
FIRE:  150 05:44:52  -518890.125000        0.138432
FIRE:  151 05:44:52  -518890.125000        0.138055
FIRE:  152 05:44:52  -518890.093750        0.137637
FIRE:  153 05:44:52  -518890.125000        0.137112
FIRE:  154 05:44:52  -518890.156250        0.136489
FIRE:  155 05:44:52  -518890.156250        0.135766
FIRE:  156 05:44:52  -518890.187500        0.134888
FIRE:  157 05:44:52  -518890.156250        0.133832
FIRE:  158 05:44:52  -518890.156250        0.132639
FIRE:  159 05:44:53  -518890.218750        0.131248
FIRE:  160 05:44:53  -518890.218750        0.129633
FIRE:  161 05:44:53  -518890.218750        0.127694
FIRE:  162 05:44:53  -518890.187500        0.125401
FIRE:  163 05:44:53  -518890.218750        0.122851
FIRE:  164 05:44:53  -518890.218750        0.120992
FIRE:  165 05:44:53  -518890.312500        0.180746
FIRE:  166 05:44:53  -518890.343750        0.570097
FIRE:  167 05:44:53  -518890.250000        1.598093
FIRE:  168 05:44:53  -518890.281250        0.115655
FIRE:  169 05:44:53  -518890.250000        1.483703
FIRE:  170 05:44:53  -518890.281250        1.110613
FIRE:  171 05:44:53  -518890.281250        0.471654
FIRE:  172 05:44:53  -518890.281250        0.258769
FIRE:  173 05:44:54  -518890.281250        0.242718
FIRE:  174 05:44:54  -518890.250000        0.211842
FIRE:  175 05:44:54  -518890.281250        0.168104
FIRE:  176 05:44:54  -518890.281250        0.114728
FIRE:  177 05:44:54  -518890.281250        0.112041
FIRE:  178 05:44:54  -518890.281250        0.112028
FIRE:  179 05:44:54  -518890.250000        0.111985
FIRE:  180 05:44:54  -518890.281250        0.111955
FIRE:  181 05:44:54  -518890.281250        0.141304
FIRE:  182 05:44:54  -518890.281250        0.150158
FIRE:  183 05:44:54  -518890.281250        0.129494
FIRE:  184 05:44:54  -518890.281250        0.111784
FIRE:  185 05:44:54  -518890.281250        0.111730
FIRE:  186 05:44:54  -518890.281250        0.111622
FIRE:  187 05:44:55  -518890.281250        0.111458
FIRE:  188 05:44:55  -518890.281250        0.111215
FIRE:  189 05:44:55  -518890.281250        0.110956
FIRE:  190 05:44:55  -518890.281250        0.110736
FIRE:  191 05:44:55  -518890.312500        0.110725
FIRE:  192 05:44:55  -518890.312500        0.110801
FIRE:  193 05:44:55  -518890.312500        0.110802
FIRE:  194 05:44:55  -518890.312500        0.110585
FIRE:  195 05:44:55  -518890.343750        0.109997
FIRE:  196 05:44:55  -518890.343750        0.109224
FIRE:  197 05:44:55  -518890.343750        0.108278
FIRE:  198 05:44:55  -518890.375000        0.108553
FIRE:  199 05:44:55  -518890.406250        0.168981
FIRE:  200 05:44:55  -518890.437500        0.568368
FIRE:  201 05:44:56  -518890.468750        1.612606
FIRE:  202 05:44:56  -518890.531250        0.118107
FIRE:  203 05:44:56  -518890.500000        1.540007
FIRE:  204 05:44:56  -518890.468750        1.140450
FIRE:  205 05:44:56  -518890.531250        0.461048
FIRE:  206 05:44:56  -518890.531250        0.305314
FIRE:  207 05:44:56  -518890.500000        0.285559
FIRE:  208 05:44:56  -518890.500000        0.247424
FIRE:  209 05:44:56  -518890.531250        0.193361
FIRE:  210 05:44:56  -518890.531250        0.127486
FIRE:  211 05:44:56  -518890.531250        0.116505
FIRE:  212 05:44:56  -518890.531250        0.116574
FIRE:  213 05:44:56  -518890.531250        0.116669
FIRE:  214 05:44:56  -518890.531250        0.143201
FIRE:  215 05:44:57  -518890.500000        0.178862
FIRE:  216 05:44:57  -518890.500000        0.185294
FIRE:  217 05:44:57  -518890.500000        0.155559
FIRE:  218 05:44:57  -518890.531250        0.117279
FIRE:  219 05:44:57  -518890.531250        0.117458
FIRE:  220 05:44:57  -518890.531250        0.117654
FIRE:  221 05:44:57  -518890.531250        0.122838
FIRE:  222 05:44:57  -518890.531250        0.118121
FIRE:  223 05:44:57  -518890.531250        0.118349
FIRE:  224 05:44:57  -518890.531250        0.129149
FIRE:  225 05:44:57  -518890.531250        0.118805
FIRE:  226 05:44:57  -518890.531250        0.118851
FIRE:  227 05:44:57  -518890.562500        0.118624
FIRE:  228 05:44:57  -518890.562500        0.117867
FIRE:  229 05:44:57  -518890.562500        0.116174
FIRE:  230 05:44:58  -518890.562500        0.113079
FIRE:  231 05:44:58  -518890.593750        0.108546
FIRE:  232 05:44:58  -518890.625000        0.102650
FIRE:  233 05:44:58  -518890.656250        0.099597
FIRE:  234 05:44:58  -518890.656250        0.321016
FIRE:  235 05:44:58  -518890.625000        1.157813
FIRE:  236 05:44:58  -518890.656250        4.440857
FIRE:  237 05:44:58  -518890.687500        1.363255
FIRE:  238 05:44:58  -518890.718750        0.969084
FIRE:  239 05:44:58  -518890.750000        0.342367
FIRE:  240 05:44:58  -518890.718750        0.543665
FIRE:  241 05:44:58  -518890.750000        0.502082
FIRE:  242 05:44:58  -518890.750000        0.422533
FIRE:  243 05:44:58  -518890.750000        0.311835
FIRE:  244 05:44:59  -518890.750000        0.180706
FIRE:  245 05:44:59  -518890.750000        0.110038
FIRE:  246 05:44:59  -518890.718750        0.110548
FIRE:  247 05:44:59  -518890.750000        0.189768
FIRE:  248 05:44:59  -518890.750000        0.255946
FIRE:  249 05:44:59  -518890.750000        0.274645
FIRE:  250 05:44:59  -518890.750000        0.234400
FIRE:  251 05:44:59  -518890.718750        0.132731
FIRE:  252 05:44:59  -518890.750000        0.109799
FIRE:  253 05:44:59  -518890.750000        0.176678
FIRE:  254 05:44:59  -518890.750000        0.245243
FIRE:  255 05:44:59  -518890.718750        0.185774
FIRE:  256 05:44:59  -518890.750000        0.110420
FIRE:  257 05:44:59  -518890.718750        0.163920
FIRE:  258 05:45:00  -518890.718750        0.149644
FIRE:  259 05:45:00  -518890.781250        0.110303
FIRE:  260 05:45:00  -518890.781250        0.204018
FIRE:  261 05:45:00  -518890.781250        0.111304
FIRE:  262 05:45:00  -518890.781250        0.160648
FIRE:  263 05:45:00  -518890.812500        0.161155
FIRE:  264 05:45:00  -518890.812500        0.114737
FIRE:  265 05:45:00  -518890.843750        0.117487
FIRE:  266 05:45:00  -518890.875000        0.391552
FIRE:  267 05:45:00  -518890.875000        0.967579
FIRE:  268 05:45:00  -518890.875000        2.719827
FIRE:  269 05:45:00  -518890.906250        0.328722
FIRE:  270 05:45:00  -518890.906250        0.259706
FIRE:  271 05:45:00  -518890.906250        0.137339
FIRE:  272 05:45:00  -518890.906250        0.122038
FIRE:  273 05:45:01  -518890.906250        0.214764
FIRE:  274 05:45:01  -518890.906250        0.256324
FIRE:  275 05:45:01  -518890.875000        0.211750
FIRE:  276 05:45:01  -518890.906250        0.121640
FIRE:  277 05:45:01  -518890.937500        0.122054
FIRE:  278 05:45:01  -518890.937500        0.164127
FIRE:  279 05:45:01  -518890.906250        0.150988
FIRE:  280 05:45:01  -518890.937500        0.122238
FIRE:  281 05:45:01  -518890.906250        0.182292
FIRE:  282 05:45:01  -518890.906250        0.123564
FIRE:  283 05:45:01  -518890.937500        0.153791
FIRE:  284 05:45:01  -518890.968750        0.123606
FIRE:  285 05:45:01  -518890.968750        0.200728
FIRE:  286 05:45:01  -518890.937500        0.127305
FIRE:  287 05:45:02  -518891.000000        0.129599
FIRE:  288 05:45:02  -518891.000000        0.234470
FIRE:  289 05:45:02  -518891.000000        0.517702
FIRE:  290 05:45:02  -518891.000000        1.500814
FIRE:  291 05:45:02  -518891.062500        0.121304
FIRE:  292 05:45:02  -518891.062500        1.221406
FIRE:  293 05:45:02  -518891.031250        0.938952
FIRE:  294 05:45:02  -518891.031250        0.430814
FIRE:  295 05:45:02  -518891.062500        0.192576
FIRE:  296 05:45:02  -518891.062500        0.182505
FIRE:  297 05:45:02  -518891.031250        0.162979
FIRE:  298 05:45:02  -518891.062500        0.135592
FIRE:  299 05:45:02  -518891.031250        0.122447
FIRE:  300 05:45:02  -518891.062500        0.122645
FIRE:  301 05:45:03  -518891.031250        0.122850
FIRE:  302 05:45:03  -518891.031250        0.123087
FIRE:  303 05:45:03  -518891.031250        0.123282
FIRE:  304 05:45:03  -518891.062500        0.123437
FIRE:  305 05:45:03  -518891.062500        0.123573
FIRE:  306 05:45:03  -518891.031250        0.123595
FIRE:  307 05:45:03  -518891.062500        0.123571
FIRE:  308 05:45:03  -518891.062500        0.123448
FIRE:  309 05:45:03  -518891.062500        0.123325
FIRE:  310 05:45:03  -518891.062500        0.123334
FIRE:  311 05:45:03  -518891.062500        0.123453
FIRE:  312 05:45:03  -518891.062500        0.123716
FIRE:  313 05:45:03  -518891.062500        0.123984
FIRE:  314 05:45:03  -518891.062500        0.123920
FIRE:  315 05:45:03  -518891.093750        0.123508
FIRE:  316 05:45:04  -518891.093750        0.123156
FIRE:  317 05:45:04  -518891.093750        0.123376
FIRE:  318 05:45:04  -518891.093750        0.123681
FIRE:  319 05:45:04  -518891.093750        0.126238
