      Step     Time          Energy          fmax
FIRE:    0 16:26:45   -93605.585938        0.828749
FIRE:    1 16:26:46   -93605.718750        0.463638
FIRE:    2 16:26:48   -93605.812500        0.425061
FIRE:    3 16:26:48   -93605.851562        0.516867
FIRE:    4 16:26:48   -93605.929688        0.436748
FIRE:    5 16:26:48   -93606.000000        0.444202
FIRE:    6 16:26:48   -93606.054688        0.453065
FIRE:    7 16:26:50   -93606.070312        0.462902
FIRE:    8 16:26:51   -93606.125000        0.461245
FIRE:    9 16:26:51   -93606.218750        0.456298
FIRE:   10 16:26:51   -93606.320312        0.448181
FIRE:   11 16:26:51   -93606.437500        0.613796
FIRE:   12 16:26:51   -93606.585938        1.232889
FIRE:   13 16:26:51   -93606.765625        0.609131
FIRE:   14 16:26:51   -93606.937500        0.643406
FIRE:   15 16:26:51   -93607.148438        0.819250
FIRE:   16 16:26:51   -93607.382812        0.920401
FIRE:   17 16:26:51   -93607.632812        1.206894
FIRE:   18 16:26:51   -93607.992188        1.577496
FIRE:   19 16:26:51   -93608.429688        2.042280
FIRE:   20 16:26:52   -93609.000000        2.388642
FIRE:   21 16:26:52   -93609.585938        1.987688
FIRE:   22 16:26:52   -93609.789062        1.751219
FIRE:   23 16:26:52   -93609.828125        1.136421
FIRE:   24 16:26:52   -93609.859375        0.953186
FIRE:   25 16:26:52   -93609.898438        0.632180
FIRE:   26 16:26:52   -93609.929688        0.668483
FIRE:   27 16:26:52   -93609.953125        1.009073
FIRE:   28 16:26:52   -93609.992188        0.887263
FIRE:   29 16:26:52   -93610.039062        0.480416
FIRE:   30 16:26:52   -93610.070312        0.648852
FIRE:   31 16:26:52   -93610.117188        0.883037
FIRE:   32 16:26:52   -93610.187500        0.855382
FIRE:   33 16:26:52   -93610.281250        0.601229
FIRE:   34 16:26:52   -93610.406250        0.842926
FIRE:   35 16:26:52   -93610.539062        0.817103
FIRE:   36 16:26:52   -93610.750000        1.051917
FIRE:   37 16:26:52   -93610.960938        1.130351
FIRE:   38 16:26:52   -93611.203125        1.244717
FIRE:   39 16:26:52   -93611.492188        1.420652
FIRE:   40 16:26:53   -93611.875000        1.696132
FIRE:   41 16:26:53   -93612.343750        2.016184
FIRE:   42 16:26:53   -93612.898438        2.247797
FIRE:   43 16:26:53   -93613.460938        2.218123
FIRE:   44 16:26:53   -93613.914062        1.545158
FIRE:   45 16:26:53   -93613.914062        3.806226
FIRE:   46 16:26:53   -93613.929688        4.838543
FIRE:   47 16:26:53   -93614.226562        1.597894
FIRE:   48 16:26:53   -93614.218750        1.821813
FIRE:   49 16:26:53   -93614.242188        1.554992
FIRE:   50 16:26:53   -93614.273438        1.075582
FIRE:   51 16:26:53   -93614.312500        0.923584
FIRE:   52 16:26:53   -93614.328125        0.909334
FIRE:   53 16:26:53   -93614.335938        1.016862
FIRE:   54 16:26:53   -93614.351562        1.421347
FIRE:   55 16:26:53   -93614.367188        1.513031
FIRE:   56 16:26:53   -93614.406250        1.230087
FIRE:   57 16:26:53   -93614.445312        0.660199
FIRE:   58 16:26:54   -93614.460938        0.742227
FIRE:   59 16:26:54   -93614.453125        0.970262
FIRE:   60 16:26:54   -93614.515625        0.901203
FIRE:   61 16:26:54   -93614.570312        0.376071
FIRE:   62 16:26:54   -93614.546875        0.897676
FIRE:   63 16:26:54   -93614.578125        0.997578
FIRE:   64 16:26:54   -93614.617188        0.216673
FIRE:   65 16:26:54   -93614.625000        0.917935
FIRE:   66 16:26:54   -93614.625000        0.664808
FIRE:   67 16:26:54   -93614.632812        0.236516
FIRE:   68 16:26:54   -93614.632812        0.285516
FIRE:   69 16:26:54   -93614.640625        0.269388
FIRE:   70 16:26:54   -93614.640625        0.238450
FIRE:   71 16:26:54   -93614.640625        0.195530
FIRE:   72 16:26:54   -93614.640625        0.145407
FIRE:   73 16:26:54   -93614.656250        0.096849
FIRE:   74 16:26:54   -93614.648438        0.096170
FIRE:   75 16:26:55   -93614.656250        0.109571
FIRE:   76 16:26:55   -93614.656250        0.125434
FIRE:   77 16:26:55   -93614.648438        0.136953
FIRE:   78 16:26:55   -93614.648438        0.138697
FIRE:   79 16:26:55   -93614.640625        0.128116
FIRE:   80 16:26:55   -93614.640625        0.108444
FIRE:   81 16:26:55   -93614.640625        0.091316
FIRE:   82 16:26:55   -93614.640625        0.126804
FIRE:   83 16:26:55   -93614.656250        0.125435
FIRE:   84 16:26:55   -93614.656250        0.084199
FIRE:   85 16:26:55   -93614.664062        0.094922
FIRE:   86 16:26:55   -93614.671875        0.097674
FIRE:   87 16:26:55   -93614.671875        0.077040
FIRE:   88 16:26:55   -93614.687500        0.102201
FIRE:   89 16:26:55   -93614.695312        0.066863
FIRE:   90 16:26:55   -93614.718750        0.092448
FIRE:   91 16:26:55   -93614.757812        0.054538
FIRE:   92 16:26:55   -93614.765625        0.081751
FIRE:   93 16:26:56   -93614.742188        0.149779
FIRE:   94 16:26:56   -93614.765625        0.247102
FIRE:   95 16:26:56   -93614.773438        0.526708
FIRE:   96 16:26:56   -93614.796875        0.100784
FIRE:   97 16:26:56   -93614.773438        0.072846
FIRE:   98 16:26:56   -93614.796875        0.047132
