      Step     Time          Energy          fmax
FIRE:    0 10:24:26  -922846.375000        3.412147
FIRE:    1 10:24:27  -922845.375000        3.043507
FIRE:    2 10:24:30  -922847.187500        2.248612
FIRE:    3 10:24:30  -922847.500000        2.030041
FIRE:    4 10:24:30  -922847.312500        3.165851
FIRE:    5 10:24:30  -922847.812500        2.463789
FIRE:    6 10:24:30  -922848.250000        0.880125
FIRE:    7 10:24:30  -922848.500000        1.503425
FIRE:    8 10:24:30  -922848.875000        2.065170
FIRE:    9 10:24:30  -922849.250000        1.891598
FIRE:   10 10:24:30  -922849.812500        1.089225
FIRE:   11 10:24:30  -922850.000000        0.821699
FIRE:   12 10:24:30  -922850.250000        1.638136
FIRE:   13 10:24:30  -922850.562500        1.204533
FIRE:   14 10:24:30  -922850.875000        0.768154
FIRE:   15 10:24:30  -922851.187500        1.322385
FIRE:   16 10:24:31  -922851.312500        1.326756
FIRE:   17 10:24:31  -922851.625000        0.982859
FIRE:   18 10:24:31  -922851.875000        0.884671
FIRE:   19 10:24:31  -922852.187500        1.167246
FIRE:   20 10:24:31  -922852.625000        1.287962
FIRE:   21 10:24:31  -922852.750000        1.508490
FIRE:   22 10:24:31  -922853.062500        1.526801
FIRE:   23 10:24:31  -922853.562500        1.267324
FIRE:   24 10:24:31  -922855.687500        1.026052
FIRE:   25 10:24:32  -922853.812500        1.069856
FIRE:   26 10:24:34  -922854.875000        1.487353
FIRE:   27 10:24:34  -922855.187500        1.237679
FIRE:   28 10:24:34  -922855.687500        0.657380
FIRE:   29 10:24:34  -922856.187500        0.633223
FIRE:   30 10:24:34  -922856.187500        0.921060
FIRE:   31 10:24:34  -922856.562500        0.876103
FIRE:   32 10:24:34  -922856.937500        0.519509
FIRE:   33 10:24:34  -922856.437500        0.525760
FIRE:   34 10:24:34  -922856.500000        0.498608
FIRE:   35 10:24:34  -922856.437500        0.654946
FIRE:   36 10:24:34  -922856.625000        0.787715
FIRE:   37 10:24:34  -922857.375000        0.796229
FIRE:   38 10:24:34  -922856.062500        0.690765
FIRE:   39 10:24:34  -922857.562500        0.527111
FIRE:   40 10:24:34  -922856.250000        0.385221
FIRE:   41 10:24:35  -922857.375000        0.382636
FIRE:   42 10:24:35  -922856.375000        0.338243
FIRE:   43 10:24:35  -922856.312500        0.279644
FIRE:   44 10:24:35  -922856.562500        0.319628
FIRE:   45 10:24:35  -922856.437500        0.334742
FIRE:   46 10:24:35  -922856.437500        0.440950
FIRE:   47 10:24:35  -922856.687500        0.418924
FIRE:   48 10:24:35  -922856.687500        0.318229
FIRE:   49 10:24:35  -922857.875000        0.313697
FIRE:   50 10:24:35  -922857.937500        0.253388
FIRE:   51 10:24:35  -922857.875000        0.349963
FIRE:   52 10:24:35  -922857.812500        0.426486
FIRE:   53 10:24:35  -922858.937500        0.466890
FIRE:   54 10:24:35  -922859.000000        0.424649
FIRE:   55 10:24:35  -922857.312500        0.400757
FIRE:   56 10:24:35  -922858.687500        0.407555
FIRE:   57 10:24:35  -922857.375000        0.501805
FIRE:   58 10:24:35  -922858.125000        0.640746
FIRE:   59 10:24:35  -922858.875000        0.764377
FIRE:   60 10:24:36  -922856.625000        7.718788
FIRE:   61 10:24:36  -922858.812500        1.618039
FIRE:   62 10:24:36  -922858.812500        1.243689
FIRE:   63 10:24:36  -922858.875000        0.640595
FIRE:   64 10:24:36  -922858.875000        0.271527
FIRE:   65 10:24:36  -922858.875000        0.244418
FIRE:   66 10:24:36  -922858.250000        0.193224
FIRE:   67 10:24:36  -922858.875000        0.123918
FIRE:   68 10:24:36  -922858.875000        0.104785
FIRE:   69 10:24:36  -922858.875000        0.103836
FIRE:   70 10:24:36  -922857.312500        0.122307
FIRE:   71 10:24:36  -922858.875000        0.152007
FIRE:   72 10:24:36  -922858.312500        0.152185
FIRE:   73 10:24:36  -922858.875000        0.117706
FIRE:   74 10:24:36  -922858.875000        0.094850
FIRE:   75 10:24:36  -922857.937500        0.091942
FIRE:   76 10:24:36  -922858.875000        0.119485
FIRE:   77 10:24:37  -922858.187500        0.111194
FIRE:   78 10:24:37  -922858.375000        0.080938
FIRE:   79 10:24:37  -922858.250000        0.097247
FIRE:   80 10:24:37  -922857.500000        0.113025
FIRE:   81 10:24:37  -922857.312500        0.066305
FIRE:   82 10:24:37  -922858.937500        0.105952
FIRE:   83 10:24:37  -922858.937500        0.056064
FIRE:   84 10:24:37  -922858.937500        0.112003
FIRE:   85 10:24:37  -922858.937500        0.073763
FIRE:   86 10:24:37  -922858.250000        0.053393
FIRE:   87 10:24:37  -922858.437500        0.127646
FIRE:   88 10:24:37  -922859.000000        0.248836
FIRE:   89 10:24:37  -922857.562500        0.519174
FIRE:   90 10:24:37  -922857.562500        0.050351
FIRE:   91 10:24:37  -922857.375000        0.436091
FIRE:   92 10:24:37  -922857.562500        0.341104
FIRE:   93 10:24:37  -922857.562500        0.171541
FIRE:   94 10:24:38  -922857.375000        0.069849
FIRE:   95 10:24:38  -922857.312500        0.066892
FIRE:   96 10:24:38  -922857.312500        0.061116
FIRE:   97 10:24:38  -922857.312500        0.052950
FIRE:   98 10:24:38  -922857.375000        0.045913
