      Step     Time          Energy          fmax
FIRE:    0 22:46:50  -361051.875000       18.290062
FIRE:    1 22:46:51  -361055.281250        7.646179
FIRE:    2 22:46:53  -361056.718750        5.608066
FIRE:    3 22:46:53  -361057.437500        5.439139
FIRE:    4 22:46:53  -361058.000000        4.835568
FIRE:    5 22:46:53  -361058.625000        3.858324
FIRE:    6 22:46:54  -361059.187500        3.596557
FIRE:    7 22:46:54  -361059.687500        3.200315
FIRE:    8 22:46:54  -361060.156250        2.600929
FIRE:    9 22:46:54  -361060.531250        1.938822
FIRE:   10 22:46:54  -361060.812500        1.327484
FIRE:   11 22:46:54  -361061.031250        0.782240
FIRE:   12 22:46:54  -361061.187500        0.618801
FIRE:   13 22:46:54  -361061.312500        0.565870
FIRE:   14 22:46:55  -361061.375000        0.489358
FIRE:   15 22:46:55  -361061.312500        0.455383
FIRE:   16 22:46:55  -361061.406250        0.400696
FIRE:   17 22:46:55  -361061.437500        0.337945
FIRE:   18 22:46:55  -361061.437500        0.303113
FIRE:   19 22:46:55  -361061.500000        0.296682
FIRE:   20 22:46:55  -361061.468750        0.289215
FIRE:   21 22:46:57  -361061.500000        0.275353
FIRE:   22 22:46:57  -361061.531250        0.247466
FIRE:   23 22:46:57  -361061.593750        0.223623
FIRE:   24 22:46:57  -361061.625000        0.236094
FIRE:   25 22:46:57  -361061.625000        0.195773
FIRE:   26 22:46:57  -361061.718750        0.153944
FIRE:   27 22:46:57  -361061.718750        0.148288
FIRE:   28 22:46:57  -361061.812500        0.179508
FIRE:   29 22:46:57  -361061.875000        0.377211
FIRE:   30 22:46:57  -361061.812500        0.742424
FIRE:   31 22:46:57  -361061.875000        0.170723
FIRE:   32 22:46:57  -361061.875000        0.717649
FIRE:   33 22:46:57  -361061.875000        0.542975
FIRE:   34 22:46:57  -361061.968750        0.242625
FIRE:   35 22:46:57  -361061.906250        0.187931
FIRE:   36 22:46:58  -361061.906250        0.175809
FIRE:   37 22:46:58  -361061.906250        0.157530
FIRE:   38 22:46:58  -361061.906250        0.156948
FIRE:   39 22:46:58  -361061.906250        0.156166
FIRE:   40 22:46:58  -361061.906250        0.155175
FIRE:   41 22:46:58  -361061.937500        0.153967
FIRE:   42 22:46:58  -361061.968750        0.152554
FIRE:   43 22:46:58  -361061.937500        0.150789
FIRE:   44 22:46:58  -361061.968750        0.148642
FIRE:   45 22:46:58  -361061.968750        0.146066
FIRE:   46 22:46:58  -361061.968750        0.142987
FIRE:   47 22:46:58  -361061.968750        0.139285
FIRE:   48 22:46:58  -361062.000000        0.134776
FIRE:   49 22:46:58  -361061.968750        0.129296
FIRE:   50 22:46:58  -361061.968750        0.122941
FIRE:   51 22:46:58  -361062.000000        0.115618
FIRE:   52 22:46:58  -361062.031250        0.106924
FIRE:   53 22:46:58  -361062.000000        0.096676
FIRE:   54 22:46:58  -361061.937500        0.085047
FIRE:   55 22:46:59  -361062.031250        0.071925
FIRE:   56 22:46:59  -361062.031250        0.057526
FIRE:   57 22:46:59  -361062.031250        0.053518
FIRE:   58 22:46:59  -361062.062500        0.050789
FIRE:   59 22:46:59  -361062.000000        0.068515
FIRE:   60 22:46:59  -361062.093750        0.068373
FIRE:   61 22:46:59  -361062.093750        0.106639
FIRE:   62 22:46:59  -361062.125000        0.231878
FIRE:   63 22:46:59  -361062.125000        0.573983
FIRE:   64 22:46:59  -361062.156250        0.061721
FIRE:   65 22:46:59  -361062.125000        0.522223
FIRE:   66 22:46:59  -361062.125000        0.393665
FIRE:   67 22:46:59  -361062.156250        0.171611
FIRE:   68 22:46:59  -361062.125000        0.087174
FIRE:   69 22:46:59  -361062.125000        0.082107
FIRE:   70 22:46:59  -361062.125000        0.072277
FIRE:   71 22:46:59  -361062.125000        0.058450
FIRE:   72 22:46:59  -361062.125000        0.058105
FIRE:   73 22:47:00  -361062.125000        0.057882
FIRE:   74 22:47:00  -361062.156250        0.057611
FIRE:   75 22:47:00  -361062.125000        0.057290
FIRE:   76 22:47:00  -361062.156250        0.056878
FIRE:   77 22:47:00  -361062.156250        0.056356
FIRE:   78 22:47:00  -361062.156250        0.055688
FIRE:   79 22:47:00  -361062.125000        0.054850
FIRE:   80 22:47:00  -361062.125000        0.053814
FIRE:   81 22:47:00  -361062.125000        0.052546
FIRE:   82 22:47:00  -361062.156250        0.051004
FIRE:   83 22:47:00  -361062.125000        0.049154
