      Step     Time          Energy          fmax
FIRE:    0 06:40:28   -69848.664062        3.944102
FIRE:    1 06:40:29   -69848.921875        1.005005
FIRE:    2 06:40:31   -69848.960938        2.605609
FIRE:    3 06:40:31   -69849.023438        1.861017
FIRE:    4 06:40:31   -69849.093750        0.789655
FIRE:    5 06:40:31   -69849.132812        0.554233
FIRE:    6 06:40:31   -69849.132812        1.216121
FIRE:    7 06:40:31   -69849.140625        1.153680
FIRE:    8 06:40:31   -69849.148438        1.034293
FIRE:    9 06:40:31   -69849.164062        0.862457
FIRE:   10 06:40:31   -69849.179688        0.648092
FIRE:   11 06:40:31   -69849.187500        0.457116
FIRE:   12 06:40:31   -69849.210938        0.469435
FIRE:   13 06:40:31   -69849.210938        0.493336
FIRE:   14 06:40:31   -69849.210938        0.517414
FIRE:   15 06:40:31   -69849.234375        0.679883
FIRE:   16 06:40:31   -69849.242188        0.727303
FIRE:   17 06:40:31   -69849.265625        0.630149
FIRE:   18 06:40:31   -69849.289062        0.442926
FIRE:   19 06:40:32   -69849.312500        0.314947
FIRE:   20 06:40:32   -69849.351562        0.361561
FIRE:   21 06:40:32   -69849.375000        0.529092
FIRE:   22 06:40:32   -69849.414062        0.481710
FIRE:   23 06:40:32   -69849.445312        0.250068
FIRE:   24 06:40:32   -69849.484375        0.391320
FIRE:   25 06:40:32   -69849.523438        0.487943
FIRE:   26 06:40:32   -69849.578125        0.196300
FIRE:   27 06:40:32   -69849.609375        0.454260
FIRE:   28 06:40:32   -69849.656250        0.244057
FIRE:   29 06:40:32   -69849.710938        0.524135
FIRE:   30 06:40:32   -69849.820312        0.221375
FIRE:   31 06:40:33   -69849.859375        0.512548
FIRE:   32 06:40:33   -69849.890625        0.561125
FIRE:   33 06:40:34   -69849.992188        0.858863
FIRE:   34 06:40:34   -69849.984375        2.740504
FIRE:   35 06:40:34   -69850.015625        0.388340
FIRE:   36 06:40:34   -69850.007812        0.297194
FIRE:   37 06:40:34   -69850.015625        0.145915
FIRE:   38 06:40:34   -69850.023438        0.100582
FIRE:   39 06:40:34   -69850.062500        0.205256
FIRE:   40 06:40:34   -69850.070312        0.241480
FIRE:   41 06:40:34   -69850.015625        0.205282
FIRE:   42 06:40:34   -69850.070312        0.115806
FIRE:   43 06:40:34   -69850.031250        0.123149
FIRE:   44 06:40:34   -69850.070312        0.206334
FIRE:   45 06:40:34   -69850.078125        0.156823
FIRE:   46 06:40:34   -69850.078125        0.107198
FIRE:   47 06:40:34   -69850.039062        0.174454
FIRE:   48 06:40:34   -69850.093750        0.096196
FIRE:   49 06:40:34   -69850.062500        0.176396
FIRE:   50 06:40:34   -69850.101562        0.074261
FIRE:   51 06:40:34   -69850.125000        0.200397
FIRE:   52 06:40:34   -69850.093750        0.158160
FIRE:   53 06:40:34   -69850.148438        0.093397
FIRE:   54 06:40:34   -69850.156250        0.111810
FIRE:   55 06:40:35   -69850.140625        0.177861
FIRE:   56 06:40:35   -69850.156250        0.489316
FIRE:   57 06:40:35   -69850.148438        1.837719
FIRE:   58 06:40:35   -69850.179688        0.433073
FIRE:   59 06:40:35   -69850.179688        0.304847
FIRE:   60 06:40:35   -69850.195312        0.092987
FIRE:   61 06:40:35   -69850.179688        0.157281
FIRE:   62 06:40:35   -69850.187500        0.146465
FIRE:   63 06:40:35   -69850.179688        0.125934
FIRE:   64 06:40:35   -69850.179688        0.097934
FIRE:   65 06:40:35   -69850.179688        0.066726
FIRE:   66 06:40:35   -69850.179688        0.056221
FIRE:   67 06:40:35   -69850.187500        0.055363
FIRE:   68 06:40:35   -69850.226562        0.060682
FIRE:   69 06:40:35   -69850.226562        0.078302
FIRE:   70 06:40:35   -69850.187500        0.085392
FIRE:   71 06:40:35   -69850.195312        0.077089
FIRE:   72 06:40:35   -69850.179688        0.056935
FIRE:   73 06:40:36   -69850.234375        0.054660
FIRE:   74 06:40:36   -69850.226562        0.061825
FIRE:   75 06:40:36   -69850.203125        0.076617
FIRE:   76 06:40:36   -69850.242188        0.062912
FIRE:   77 06:40:36   -69850.234375        0.052891
FIRE:   78 06:40:36   -69850.187500        0.063054
FIRE:   79 06:40:36   -69850.195312        0.056980
FIRE:   80 06:40:36   -69850.242188        0.054127
FIRE:   81 06:40:36   -69850.250000        0.066456
FIRE:   82 06:40:36   -69850.250000        0.048906
