      Step     Time          Energy          fmax
FIRE:    0 07:43:31  -287918.406250        3.902062
FIRE:    1 07:43:31  -287919.250000        3.881785
FIRE:    2 07:43:34  -287920.468750        3.562000
FIRE:    3 07:43:34  -287921.281250        4.032087
FIRE:    4 07:43:34  -287921.531250        3.274066
FIRE:    5 07:43:34  -287921.625000        2.863487
FIRE:    6 07:43:34  -287921.718750        2.157305
FIRE:    7 07:43:34  -287921.843750        1.339162
FIRE:    8 07:43:34  -287921.937500        1.692902
FIRE:    9 07:43:34  -287921.968750        1.713350
FIRE:   10 07:43:34  -287922.000000        1.375614
FIRE:   11 07:43:34  -287922.031250        1.348245
FIRE:   12 07:43:34  -287922.093750        1.492950
FIRE:   13 07:43:34  -287922.187500        1.684359
FIRE:   14 07:43:34  -287922.312500        1.494876
FIRE:   15 07:43:34  -287922.406250        0.747999
FIRE:   16 07:43:34  -287922.531250        0.930666
FIRE:   17 07:43:34  -287922.531250        1.610375
FIRE:   18 07:43:34  -287922.656250        0.999809
FIRE:   19 07:43:34  -287922.750000        0.972412
FIRE:   20 07:43:34  -287922.781250        0.813935
FIRE:   21 07:43:34  -287922.906250        1.081615
FIRE:   22 07:43:35  -287922.718750        0.536614
FIRE:   23 07:43:36  -287923.093750        1.197596
FIRE:   24 07:43:36  -287923.093750        0.758322
FIRE:   25 07:43:36  -287923.125000        0.537416
FIRE:   26 07:43:36  -287923.125000        1.006095
FIRE:   27 07:43:36  -287923.218750        0.885951
FIRE:   28 07:43:36  -287923.093750        0.663112
FIRE:   29 07:43:36  -287923.125000        0.371161
FIRE:   30 07:43:36  -287923.156250        0.197785
FIRE:   31 07:43:36  -287923.156250        0.294055
FIRE:   32 07:43:36  -287923.156250        0.403386
FIRE:   33 07:43:36  -287923.156250        0.467574
FIRE:   34 07:43:36  -287923.156250        0.403886
FIRE:   35 07:43:36  -287923.250000        0.283866
FIRE:   36 07:43:36  -287923.187500        0.194594
FIRE:   37 07:43:37  -287923.187500        0.427810
FIRE:   38 07:43:37  -287923.187500        0.535085
FIRE:   39 07:43:37  -287922.968750        0.344766
FIRE:   40 07:43:37  -287922.968750        0.182796
FIRE:   41 07:43:37  -287923.250000        0.329435
FIRE:   42 07:43:37  -287923.250000        0.234455
FIRE:   43 07:43:37  -287923.281250        0.360732
FIRE:   44 07:43:37  -287923.312500        0.321767
FIRE:   45 07:43:37  -287923.093750        0.304381
FIRE:   46 07:43:37  -287923.375000        0.235457
FIRE:   47 07:43:37  -287923.406250        0.494136
FIRE:   48 07:43:37  -287923.437500        0.782795
FIRE:   49 07:43:37  -287923.437500        1.976061
FIRE:   50 07:43:37  -287923.500000        0.157617
FIRE:   51 07:43:37  -287923.250000        0.120165
FIRE:   52 07:43:37  -287923.500000        0.085303
FIRE:   53 07:43:37  -287923.500000        0.089290
FIRE:   54 07:43:37  -287923.500000        0.093518
FIRE:   55 07:43:37  -287923.500000        0.105311
FIRE:   56 07:43:38  -287923.500000        0.096355
FIRE:   57 07:43:38  -287923.500000        0.093273
FIRE:   58 07:43:38  -287923.500000        0.087196
FIRE:   59 07:43:38  -287923.500000        0.093878
FIRE:   60 07:43:38  -287923.281250        0.075812
FIRE:   61 07:43:38  -287923.531250        0.073006
FIRE:   62 07:43:38  -287923.500000        0.081424
FIRE:   63 07:43:40  -287923.531250        0.080514
FIRE:   64 07:43:40  -287923.531250        0.079534
FIRE:   65 07:43:40  -287923.562500        0.073249
FIRE:   66 07:43:40  -287923.562500        0.080827
FIRE:   67 07:43:40  -287923.562500        0.074342
FIRE:   68 07:43:40  -287923.593750        0.076405
FIRE:   69 07:43:40  -287923.625000        0.071019
FIRE:   70 07:43:40  -287923.593750        0.079956
FIRE:   71 07:43:40  -287923.656250        0.184260
FIRE:   72 07:43:40  -287923.625000        0.851483
FIRE:   73 07:43:40  -287923.687500        0.123251
FIRE:   74 07:43:40  -287923.593750        0.090752
FIRE:   75 07:43:40  -287923.687500        0.061249
FIRE:   76 07:43:40  -287923.687500        0.057174
FIRE:   77 07:43:40  -287923.625000        0.076662
FIRE:   78 07:43:40  -287923.593750        0.084829
FIRE:   79 07:43:40  -287923.562500        0.060577
FIRE:   80 07:43:40  -287923.656250        0.054042
FIRE:   81 07:43:40  -287923.687500        0.056082
FIRE:   82 07:43:40  -287923.687500        0.074882
FIRE:   83 07:43:40  -287923.687500        0.062451
FIRE:   84 07:43:41  -287923.687500        0.060344
FIRE:   85 07:43:41  -287923.625000        0.063325
FIRE:   86 07:43:41  -287923.718750        0.052546
FIRE:   87 07:43:41  -287923.687500        0.068021
FIRE:   88 07:43:41  -287923.718750        0.057558
FIRE:   89 07:43:41  -287923.718750        0.054908
FIRE:   90 07:43:41  -287923.718750        0.089485
FIRE:   91 07:43:41  -287923.687500        0.098357
FIRE:   92 07:43:41  -287923.625000        0.197064
FIRE:   93 07:43:41  -287923.750000        0.436379
FIRE:   94 07:43:41  -287923.781250        1.134418
FIRE:   95 07:43:41  -287923.687500        0.044679
