      Step     Time          Energy          fmax
FIRE:    0 09:22:11  -141347.406250        4.040164
FIRE:    1 09:22:11  -141348.437500        3.494308
FIRE:    2 09:22:13  -141349.421875        2.126694
FIRE:    3 09:22:13  -141349.640625        2.145494
FIRE:    4 09:22:13  -141349.718750        1.737074
FIRE:    5 09:22:14  -141349.796875        1.070202
FIRE:    6 09:22:14  -141349.843750        0.548286
FIRE:    7 09:22:14  -141349.859375        0.802752
FIRE:    8 09:22:14  -141349.859375        0.759424
FIRE:    9 09:22:14  -141349.859375        0.675408
FIRE:   10 09:22:14  -141349.859375        0.555997
FIRE:   11 09:22:14  -141349.875000        0.409391
FIRE:   12 09:22:14  -141349.875000        0.247287
FIRE:   13 09:22:14  -141349.890625        0.195750
FIRE:   14 09:22:14  -141349.890625        0.202407
FIRE:   15 09:22:14  -141349.875000        0.241613
FIRE:   16 09:22:14  -141349.906250        0.293024
FIRE:   17 09:22:14  -141349.906250        0.315310
FIRE:   18 09:22:14  -141349.921875        0.259581
FIRE:   19 09:22:14  -141349.937500        0.195023
FIRE:   20 09:22:14  -141349.937500        0.183300
FIRE:   21 09:22:14  -141349.968750        0.243089
FIRE:   22 09:22:14  -141349.953125        0.317680
FIRE:   23 09:22:14  -141349.968750        0.233191
FIRE:   24 09:22:15  -141350.000000        0.166798
FIRE:   25 09:22:15  -141350.031250        0.202588
FIRE:   26 09:22:15  -141350.031250        0.170784
FIRE:   27 09:22:15  -141350.062500        0.131576
FIRE:   28 09:22:15  -141350.078125        0.239324
FIRE:   29 09:22:15  -141350.109375        0.117317
FIRE:   30 09:22:15  -141350.140625        0.168497
FIRE:   31 09:22:15  -141350.171875        0.191925
FIRE:   32 09:22:15  -141350.234375        0.146085
FIRE:   33 09:22:15  -141350.250000        0.154066
FIRE:   34 09:22:15  -141350.296875        0.365581
FIRE:   35 09:22:15  -141350.125000        0.760340
FIRE:   36 09:22:15  -141350.046875        1.835878
FIRE:   37 09:22:15  -141350.171875        0.113742
FIRE:   38 09:22:15  -141350.156250        1.716979
FIRE:   39 09:22:15  -141350.156250        1.260871
FIRE:   40 09:22:15  -141350.187500        0.496105
FIRE:   41 09:22:15  -141350.093750        0.357696
FIRE:   42 09:22:16  -141350.171875        0.336597
FIRE:   43 09:22:16  -141350.187500        0.295806
FIRE:   44 09:22:16  -141350.109375        0.237794
FIRE:   45 09:22:16  -141350.171875        0.166864
FIRE:   46 09:22:16  -141350.171875        0.089293
FIRE:   47 09:22:16  -141350.187500        0.077786
FIRE:   48 09:22:16  -141350.171875        0.075805
FIRE:   49 09:22:16  -141350.171875        0.129418
FIRE:   50 09:22:16  -141350.296875        0.168998
FIRE:   51 09:22:16  -141350.187500        0.176471
FIRE:   52 09:22:16  -141350.187500        0.143450
FIRE:   53 09:22:16  -141350.109375        0.069936
FIRE:   54 09:22:16  -141350.203125        0.066816
FIRE:   55 09:22:16  -141350.187500        0.123895
FIRE:   56 09:22:16  -141350.187500        0.157541
FIRE:   57 09:22:16  -141350.203125        0.106523
FIRE:   58 09:22:16  -141350.218750        0.066422
FIRE:   59 09:22:16  -141350.203125        0.114828
FIRE:   60 09:22:16  -141350.234375        0.069539
FIRE:   61 09:22:17  -141350.234375        0.084891
FIRE:   62 09:22:17  -141350.250000        0.119160
FIRE:   63 09:22:17  -141350.343750        0.065694
FIRE:   64 09:22:17  -141350.265625        0.068187
FIRE:   65 09:22:17  -141350.265625        0.144314
FIRE:   66 09:22:17  -141350.281250        0.100839
FIRE:   67 09:22:17  -141350.203125        0.095334
FIRE:   68 09:22:17  -141350.406250        0.186513
FIRE:   69 09:22:17  -141350.406250        0.516508
FIRE:   70 09:22:17  -141350.437500        1.452105
FIRE:   71 09:22:17  -141350.437500        0.108185
FIRE:   72 09:22:17  -141350.531250        0.084978
FIRE:   73 09:22:17  -141350.453125        0.045261
